rank,asin,title,brand,category,product_type,deal_price_mxn,basis_price_mxn,basis_price_type,display_discount_pct,calculated_discount_pct,deal_message,deal_end_time,deal_type,percent_claimed,is_lightning_deal,rating,review_count,product_url,image_url,discount_difference_pp,category_clean,is_timed_deal,absolute_savings_mxn,price_band,extracted_at_utc,marketplace,currency
1,B0H2X4SW6H,"Laptop Gaming Lenovo LOQ | AMD Ryzen 7 250 | 16GB RAM 512GB SSD | 15,6"" FHD | NVIDIA GeForce RTX 5060 | con AI | Windows 11",Lenovo,gl_pc,NOTEBOOK_COMPUTER,25106.59,31999.0,Precio de lista:,22.0,21.539454357948685,Promoción,,BEST_DEAL,,False,5.0,2.0,https://www.amazon.com.mx/Laptop-Lenovo-LOQ-GeForce-Windows/dp/B0H2X4SW6H,https://m.media-amazon.com/images/I/71oLT1FSkPL.jpg,0.460545642051315,Pc,False,6892.41,"$5,000+",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
2,B0DVJX97PM,Amazon Fire TV Stick HD (modelo más reciente): Control remoto por voz Alexa que recibe alimentación a través de la televisión y se configura fácilmente,Amazon,gl_digital_devices_4,DIGITAL_DEVICE_4,399.0,1199.0,Precio de lista:,67.0,66.72226855713093,Promoción,,BEST_DEAL,,False,4.0,1548.0,https://www.amazon.com.mx/Amazon-Fire-TV-Stick-HD-delgado-port%C3%A1til/dp/B0DVJX97PM,https://m.media-amazon.com/images/I/71XBDktYJZL.jpg,0.2777314428690687,Digital Devices 4,False,800.0,Under $500,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
3,B0GCC92XD8,"XIAOMI Monitor A24i 2026 23.8'' 144 Hz Panel Fast IPS para Oficina y Juegos | FHD (1920×1080), Panel Fast IPS, 99% sRGB, 300 nits, Certificación Low Blue Light, Diseño ultradelgado",Xiaomi,gl_pc,MONITOR,1698.0,2299.0,Precio de lista:,26.0,26.141800782949108,Promoción,,BEST_DEAL,,False,4.0,150.0,https://www.amazon.com.mx/XIAOMI-Monitor-A24i-2026-Oficina/dp/B0GCC92XD8,https://m.media-amazon.com/images/I/61k5tpO56xL.jpg,0.14180078294910814,Pc,False,601.0,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
4,B0BWSFG5J8,TP-Link Deco S7(2-Pack) Router Mesh WiFi5 AC1900 Cobertura 360m² - Doble Banda 1.9 Gbps - 3 Puertos Gigabit - Roaming IA para Moverte Sin Perder Conexión - App Deco - Conecta 100 Dispositivos,TP-Link,gl_pc,NETWORKING_ROUTER,1529.0,1699.0,Precio de lista:,10.0,10.005885815185403,Promoción,,BEST_DEAL,,False,5.0,3886.0,https://www.amazon.com.mx/TP-Link-Deco-1300Mbps-Compatible-S7/dp/B0BWSFG5J8,https://m.media-amazon.com/images/I/61JqIhl6lsL.jpg,0.005885815185402876,Pc,False,170.0,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
5,B0G4TPZPZM,"ELEGOO Centauri Carbon 2 Combo Impresora 3D Volumen Impresión 256×256×256mm | Impresión con 4 Colores, CoreXY de Alta Velocidad 500mm/s, Calibración Automática, Lista para Imprimir",ELEGOO,gl_biss,3D_PRINTER,9679.99,10999.99,Precio de lista:,12.0,12.000010909100826,Promoción,,BEST_DEAL,,False,4.0,298.0,https://www.amazon.com.mx/ELEGOO-Impresora-Calibraci%C3%B3n-Autom%C3%A1tica-256%C3%97256%C3%97256mm/dp/B0G4TPZPZM,https://m.media-amazon.com/images/I/61pccqJZkNL.jpg,1.0909100826239637e-05,Biss,False,1320.0,"$5,000+",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
6,B0F7Z3CBVF,"Amazon Fire TV Stick 4K Plus (modelo más reciente), compatible con Wi-Fi 6, Dolby Vision/Atmos",Amazon,gl_digital_devices_4,DIGITAL_DEVICE_4,749.0,1599.0,Precio de lista:,53.0,53.15822388993121,Promoción,,BEST_DEAL,,False,4.0,5236.0,https://www.amazon.com.mx/Amazon-modelo-reciente-compatible-Vision/dp/B0F7Z3CBVF,https://m.media-amazon.com/images/I/71na62XTlTL.jpg,0.1582238899312074,Digital Devices 4,False,850.0,$500–999,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
7,B0DHJ5KGFK,Apple iPhone 16 Pro Max 512GB Titanio del Desierto Desbloqueado (Reacondicionado) Esim,Apple,gl_wireless,CELLULAR_PHONE,16890.07,18088.78,Precio anterior:,7.0,6.62681507542244,Promoción,,BEST_DEAL,,False,4.0,3651.0,https://www.amazon.com.mx/Apple-iPhone-Titanio-Desierto-Reacondicionado/dp/B0DHJ5KGFK,https://m.media-amazon.com/images/I/51hANpBRKwL.jpg,0.3731849245775596,Wireless,False,1198.7099999999991,"$5,000+",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
8,B07C5XD33D,"CeraVe Gel Limpiador Espumoso para Piel Normal a Grasa con Ceramidas Esenciales, Niacinamida y Ácido Hialurónico que Protege e Hidrata la Barrera Natural de la Piel, 473ml",CeraVe,gl_beauty,SKIN_CLEANING_AGENT,261.05,599.0,Precio de lista:,56.0,56.419031719532555,Promoción,,BEST_DEAL,,False,5.0,58500.0,https://www.amazon.com.mx/Cerave-Gel-Limpiador-Espumoso-473/dp/B07C5XD33D,https://m.media-amazon.com/images/I/515j2aH1+jL.jpg,0.4190317195325548,Beauty,False,337.95,Under $500,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
9,B0GH2NNM5C,"Tablet Lenovo Idea Tab |4GB RAM + 128 GB UFS |11"" 2.5K| Android 15 | Incluye Tab Pen + Funda Tipo Libro (Modelo 2026)",Lenovo,gl_pc,TABLET_COMPUTER,3012.7,4999.0,Precio de lista:,40.0,39.73394678935788,Termina en,2026-09-25T05:59:59.000Z,BEST_DEAL,,False,5.0,15.0,https://www.amazon.com.mx/Tablet-Lenovo-Android-Incluye-Modelo/dp/B0GH2NNM5C,https://m.media-amazon.com/images/I/61a0dTlwh0L.jpg,0.26605321064212006,Pc,True,1986.3000000000002,"$2,500–4,999",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
10,B0FNBWSN54,JBL PartyBox 720 - La bocina para Fiestas JBL de baterías es más Potente con el Sonido Superior JBL Pro Sound y un espectáculo de Luces futurista - Black,JBL,gl_electronics,SPEAKERS,14699.3,20999.0,Precio de lista:,30.0,30.000000000000004,Promoción,,BEST_DEAL,,False,4.0,331.0,https://www.amazon.com.mx/JBL-PartyBox-720-espect%C3%A1culo-futurista/dp/B0FNBWSN54,https://m.media-amazon.com/images/I/81BC3-PTuTL.jpg,3.552713678800501e-15,Electronics,False,6299.700000000001,"$5,000+",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
